id|livello|tipo|citazione|identificatore|data_documento|data_consultazione|temi|usata_in|esito_sintetico|stato|conflitto_dichiarato
F013|1|normativa|Nota Informativa Importante concordata con AIFA. EUTIROX (levotiroxina) compresse nuova formulazione: necessita di monitorare i pazienti che passano da una formulazione all'altra. 3 febbraio 2021.|aifa.gov.it/documents/20142/1097058/2021.02.03_NII-EUTIROX_IT.pdf|2021-02-03|2026-08-13|T1|-|Raccomanda monitoraggio clinico e di laboratorio nel passaggio tra formulazioni per il ristretto intervallo terapeutico della levotiroxina. Testo integrale letto. Non serve nessun obiettivo formativo di T2: resta disponibile per T1.|verificata|na
F014|2|linea_guida|Assessment report on Hypericum perforatum L., herba. European Medicines Agency, Committee on Herbal Medicinal Products (HMPC). EMA/HMPC/244315/2016.|EMA/HMPC/244315/2016|2018|2026-08-13|T2|-|Non reperita e NON PIU' NECESSARIA dal 13/08/2026: l'ancoraggio indipendente a F006 e' stato ottenuto da F010 (RCP levotiroxina), che elenca l'iperico fra gli induttori enzimatici. Resta utile se in futuro servisse un secondo riscontro sulla soglia di 1 mg/die di iperforina.|da_reperire|no
F015|2|linea_guida|Hyperici herba - St. John's Wort. European Scientific Cooperative on Phytotherapy (ESCOP) monograph.|ESCOP 2018|2018|2026-08-13|T2|-|Non reperita e NON PIU' NECESSARIA dal 13/08/2026: vedi nota di F014. Seconda fonte indipendente citata da F006 per la separazione tra preparazioni a basso (fino a 1 mg/die) e alto contenuto di iperforina.|da_reperire|no
F016|2|linea_guida|Guarner F, Sanders ME, Szajewska H, Cohen H, Eliakim R, Herrera C, et al. World Gastroenterology Organisation Global Guidelines: Probiotics and prebiotics. World Gastroenterology Organisation; February 2023.|https://www.worldgastroenterology.org/UserFiles/file/guidelines/probiotics-and-prebiotics-english-2023.pdf|2023-02|2026-08-15|T6|-|PORTA GRADING PROPRIO (Oxford 2011 Levels of Evidence, Tabella 7): si riporta citandolo, non si rigradua. Prevenzione diarrea associata ad antibiotico, livello 1 di evidenza: L. rhamnosus GG 10e10 cfu due volte al giorno; S. boulardii CNCM I-745 5x10e9 cfu o 250 mg due volte al giorno. SICUREZZA (sez. 2.3): l'uso in persone con funzione immunitaria compromessa o patologia di base grave va limitato ai ceppi e alle indicazioni con sicurezza ed efficacia dimostrate in quelle popolazioni. Effetto CEPPO-SPECIFICO e DOSE-SPECIFICO: non e' possibile indicare una dose generale valida per i probiotici. I produttori affidabili dichiarano la dose attesa alla data di scadenza, non alla produzione; alcuni prodotti in commercio non rispettano quantita' e tipi di microrganismi vitali dichiarati in etichetta. RISULTATO NEGATIVO IMPORTANTE: il testo integrale NON contiene alcuna raccomandazione di distanziare il probiotico dall'antibiotico - la regola delle 2 ore non ha riscontro in questa linea guida. Testo integrale letto.|verificata|non_dichiarato
F017|1|RCP|Circadin 2 mg prolonged-release tablets. Summary of Product Characteristics. Flynn Pharma Ltd. Data di revisione del testo 01/01/2021.|https://www.medicines.org.uk/emc/product/2809/smpc|2021-01-01|2026-08-15|T6,T2|-|4.5 FARMACOCINETICA: metabolismo della melatonina mediato principalmente da enzimi CYP1A. Fluvoxamina aumenta i livelli di melatonina di 17 volte come AUC e 12 volte come Cmax inibendo CYP1A2 e CYP2C19 - LA COMBINAZIONE VA EVITATA. Chinoloni, in quanto inibitori del CYP1A2, possono aumentare l'esposizione. Carbamazepina e rifampicina, induttori del CYP1A2, possono ridurre le concentrazioni plasmatiche. Estrogeni (contraccettivi e terapia sostitutiva) aumentano i livelli inibendo CYP1A1 e CYP1A2. Cimetidina aumenta i livelli. Il fumo di sigaretta li riduce per induzione del CYP1A2. 4.5 FARMACODINAMICA: puo' potenziare le proprieta' sedative di benzodiazepine e ipnotici non benzodiazepinici (zaleplon, zolpidem, zopiclone); in un trial evidenza chiara di interazione transitoria con zolpidem un'ora dopo la co-somministrazione, con maggiore compromissione di attenzione, memoria e coordinazione rispetto a zolpidem da solo. L'alcol non va assunto perche' riduce l'efficacia sul sonno. ATTENZIONE ALL'USO: e' lo stampato UK di un MEDICINALE 2 mg a rilascio prolungato, non un RCP AIFA e non un integratore - la trasposizione all'integratore va dichiarata nel testo. Documento del 2021: oltre i 5 anni, scatta Q2. Testo integrale letto sul repository emc.|verificata|na
F018|2|linea_guida|Linee guida su probiotici e prebiotici. Indicazioni per alimenti e integratori contenenti microrganismi (batteri e/o lieviti) probiotici o sostanze prebiotiche. Ministero della Salute, Direzione generale per l'igiene e la sicurezza degli alimenti e la nutrizione. Revisione marzo 2018.|https://www.salute.gov.it/imgs/C_17_pubblicazioni_1016_allegato.pdf|2018-03|2026-08-15|T6,T0|-|NON REPERITA il 15/08/2026: salute.gov.it respinge web_fetch con pagina di validazione browser Gcore, sia in HTTPS sia in HTTP, anche sull'URL diretto del PDF. Ostacolo NON presente nella tabella di MB 2.3: da aggiungere. Unico documento italiano che definirebbe i requisiti per vantare la dicitura probiotico in etichetta e la quantita' minima di microrganismi vivi. Serve consegna manuale del PDF. Finche' resta da_reperire NON e' utilizzabile nel deliverable (ME B2).|da_reperire|na
F019|1|linea_guida|European Union herbal monograph on Valeriana officinalis L., radix. EMA/HMPC/150848/2015 Corr.1. Committee on Herbal Medicinal Products (HMPC), European Medicines Agency; 2 febbraio 2016.|https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-valeriana-officinalis-l-radix_en.pdf|2016-02-02|2026-08-15|T6,T2|-|"Testo integrale letto. Sez. 4.5 Interazioni: ""None reported"" in ENTRAMBE le colonne (uso ben consolidato e uso tradizionale): a livello regolatorio UE non esiste alcuna interazione documentata per la valeriana da sola. Sez. 4.7: puo compromettere la capacita di guidare e usare macchinari; i pazienti interessati non devono guidare ne usare macchinari. E questo, non una interazione dichiarata, il gancio regolatorio per la somma sedativa. Sez. 4.2: estratto secco 400-600 mg fino a 3 volte/die, uso ben consolidato; effetto graduale, NON adatto al trattamento acuto, continuare 2-4 settimane; se i sintomi persistono o peggiorano dopo 2 settimane consultare medico o farmacista; non raccomandata sotto i 12 anni. Sez. 4.9 sovradosaggio ~20 g: affaticamento, crampi addominali, oppressione toracica, stordimento, tremore alle mani, midriasi, risolti entro 24 ore. AVVERTENZA: la monografia della COMBINAZIONE FISSA valeriana+luppolo e documento distinto, NON letto in questa sessione; secondo snippet conterrebbe una raccomandazione sui sedativi di sintesi, ma per MB 6.1 non fa stato e non e utilizzabile finche non se ne legge il testo finale. Q2 scatta: documento del 2016, oltre i 5 anni."|verificata|na
F020|1|linea_guida|Community herbal monograph on Passiflora incarnata L., herba. EMA/HMPC/669740/2013. Committee on Herbal Medicinal Products (HMPC), European Medicines Agency; 25 marzo 2014.|https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-passiflora-incarnata-l-herba_en.pdf|2014-03-25|2026-08-15|T6,T2|-|"Testo integrale letto. Sez. 4.5 Interazioni: ""None reported"": nessuna interazione documentata a livello regolatorio UE. Sez. 4.7: puo compromettere la capacita di guidare e usare macchinari; i pazienti interessati non devono guidare ne usare macchinari. Sez. 4.8 effetti indesiderati: nessuno noto. Riconosciuto SOLO l'uso tradizionale: la colonna uso ben consolidato e vuota e le sezioni 5.1-5.3 sono esentate ex art. 16c(1)(a)(iii) della direttiva 2001/83/CE, quindi non esiste valutazione di efficacia clinica in monografia. Sez. 4.2: infuso 1-2 g in 150 ml, 1-4 volte/die; non raccomandata sotto i 12 anni; se i sintomi persistono oltre 2 settimane consultare il medico. Revisione sistematica del 25/03/2014 sulla monografia del 2007. Q2 scatta: documento del 2014, oltre i 5 anni."|verificata|na
F021|2|linea_guida|Raccomandazione per la Riconciliazione della terapia farmacologica. Raccomandazione n. 17. Ministero della Salute, Direzione generale della programmazione sanitaria, Ufficio III. Dicembre 2014.|buonepratiche.agenas.it/documents/recommendations/Racc.17_La _mancata _Riconciliazione.pdf|2014-12|2026-08-16|T1|-|DOCUMENTO CENTRALE DELL'ELABORATO. Testo integrale letto dalla premessa al glossario. Definisce Ricognizione (raccolta dati su paziente e medicinali, elenco a-p dei dati obbligatori, entro 24h dalla presa in carico, tracciabilita' con data/ora/firma) e Riconciliazione (confronto terapia in corso vs disposizioni, prima della prescrizione). Il farmacista supporta il medico in entrambe le fasi e collabora all'individuazione degli indicatori di monitoraggio. Glossario: definisce Transizione di cura, Setting assistenziale, Errore in terapia. IL 67% - QUESTIONE CHIUSA IL 19/08/2026, in senso opposto all'ipotesi. Formula testuale riscontrata su tre riprese verbatim concordi e indipendenti (procedura del Policlinico Federico II, procedura ASL Brindisi, corso SIFO 2016): 'la letteratura nazionale ed internazionale riporta che il 67% dei pazienti, all'ammissione in ospedale, presenta discrepanze non intenzionali nella terapia', con l'omissione di farmaci come discrepanza piu frequente seguita dalle assunzioni non necessarie. La Racc. 17 NON attribuisce il numero a una fonte puntuale: rinvia genericamente alla letteratura. La catena si interrompe qui e non prosegue verso una primaria. Cade percio l'annotazione precedente che rimandava a Kwan o Mueller: era un'inferenza dalla bibliografia complessiva del documento, non un rinvio del testo. Cade anche l'ipotesi aperta in chat J che il 67% venisse da Tam 2005 attraverso F052 - resta possibile ma non e dimostrabile e non si scrive. CONSEGUENZA PER LA STESURA: il 67% si cita come affermazione della Racc. 17 e attribuito a essa, mai come dato con provenienza primaria; se serve un numero tracciabile fino allo studio, si usa una delle cinque primarie di F040. Residuo minore: se nel PDF originale ci sia un rimando numerato in quel punto non e stabilibile dalle riprese aziendali, che omettono le note. Sezione 6 prevede revisione periodica su FSE, ricetta elettronica, Dossier farmaceutico, telemedicina: revisione MAI PUBBLICATA, verificato il 16-08-2026 sull'elenco ufficiale Agenas (vedi F031). NON e' linea guida SNLG ex art. 5 L. 24/2017: ricade fra le buone pratiche clinico-assistenziali. Reperita su mirror Agenas: salute.gov.it respinge web_fetch (validazione browser Gcore, stesso ostacolo di F018).|verificata|na
F022|1|normativa|Legge 8 marzo 2017, n. 24. Disposizioni in materia di sicurezza delle cure e della persona assistita, nonche' in materia di responsabilita' professionale degli esercenti le professioni sanitarie.|17G00041 - GU n. 64 del 17-03-2017|2017-03-08|2026-08-16|T1,T0|-|TESTO VIGENTE AL 16-08-2026, letto integralmente (consolidato Normattiva fornito dall'autore). La riconciliazione NON e' mai nominata nella legge: l'aggancio e' l'art. 1 c. 2 (sicurezza delle cure = insieme delle attivita' di prevenzione e gestione del rischio). NON scrivere che la legge impone la riconciliazione. Art. 1 c. 3: concorre alla prevenzione tutto il personale, compresi i liberi professionisti in convenzione con il SSN (ponte verso MMG e farmacie di comunita'). Art. 5: le linee guida pubblicate via SNLG si distinguono dalle buone pratiche clinico-assistenziali; art. 6 (art. 590-sexies c.p.) aggancia a tale distinzione l'esclusione di punibilita' per imperizia. Art. 3: Osservatorio nazionale buone pratiche presso Agenas, si avvale del SIMES. Art. 2 c. 4: Centri regionali per la gestione del rischio. Aggiornamenti recepiti: D.Lgs. 149/2022 su art. 8, sentenza Corte cost. 102/2021 su art. 15 c. 4.|verificata|na
F023|1|normativa|Decreto del Ministro della salute 23 maggio 2022, n. 77. Regolamento recante la definizione di modelli e standard per lo sviluppo dell'assistenza territoriale nel Servizio sanitario nazionale.|22G00085 - GU n. 144 del 22-06-2022|2022-05-23|2026-08-16|T1,T3,T0|-|Articolato e Allegati 1, 2 e 3 letti integralmente (testo fornito dall'autore). ART. 1 C. 1: Allegato 1 ha VALORE DESCRITTIVO, Allegato 2 VALORE PRESCRITTIVO - distinzione decisiva. Allegato 1 Tabella 1: il farmacista e' membro dell'equipe multiprofessionale come referente dell'uso sicuro ed efficace dei farmaci del programma terapeutico (interazioni, dosaggio, formulazione, farmacovigilanza, sostenibilita' economica). Allegato 2: nessun farmacista negli standard di personale di CdC hub, COT, OdC, UCA. TESI DELL'ELABORATO: c'e' il ruolo (descrittivo) senza la dotazione (prescrittivo). Allegato 1 par. 8: la COT coordina e traccia le transizioni fra setting e accede al FSE, ma la terapia non e' mai nominata. Allegato 1 par. 11: l'OdC ha un infermiere dedicato alle transizioni di cura; categoria c) di pazienti eleggibili = necessita assistenza nella somministrazione di farmaci prima del rientro a domicilio. Allegato 1 par. 16: obbligo per le strutture territoriali di liste di controllo coerenti con le raccomandazioni ministeriali (aggancio diretto della Racc. 17); elenco dei flussi FSE, Sistema TS con ricetta dematerializzata e Piani Terapeutici Elettronici, SDO, FAR, SIAD, EMUR, HOSPICE. Allegato 1 par. 2: le farmacie convenzionate sono presidi di prossimita', con richiamo al D.lgs. 153/2009. Alcune tabelle (2, 3, 4 e servizi CdC) sono in formato grafico e NON leggibili nel testo GU.|verificata|na
F024|2|linea_guida|Decreto del Ministro della salute 21 settembre 2022. Approvazione delle Linee guida per i servizi di telemedicina - Requisiti funzionali e livelli di servizio (Allegato A).|22A06184 - GU Serie generale n. 256 del 02-11-2022|2022-09-21|2026-08-17|T1,T3,T0|-|VERIFICATA su testo integrale dell'Allegato A (mirror medicoeleggi.com), 17-08-2026. RILIEVO NEGATIVO PORTANTE: il farmacista e la farmacia NON sono mai nominati. Gli attori clinici citati sono medico, MMG/PLS, medici specialisti, operatori del Centro erogatore, generici 'professionisti sanitari', caregiver. I quattro servizi minimi obbligatori (televisita, teleconsulto/teleconsulenza, telemonitoraggio, teleassistenza) non comprendono alcun servizio di area farmaceutica e la TERAPIA non e' mai oggetto: rilievo simmetrico a quello sulla COT. Le definizioni sono riprese dall'Accordo Stato-Regioni 17-12-2020 (rep. 215/CSR): televisita e teleconsulto sono atti MEDICI; teleconsulenza e' attivita' sanitaria 'non necessariamente medica ma comunque specifica delle professioni sanitarie'; teleassistenza e' 'atto professionale di pertinenza della relativa professione sanitaria'. Sono le due sole porte definitoriamente aperte a professioni non mediche - apertura definitoria, non attribuzione. ALTRO RILIEVO (OF1/OF4): nel telemonitoraggio i dati restano archiviati nell'IRT con accesso riservato ai professionisti che erogano la prestazione e al centro erogatore; all'EDS, tramite Gateway, vanno solo i referti/dati che il professionista 'ritiene opportuno classificare come significativi'. Filtro discrezionale a monte dell'EDS. Scenario B transitorio previsto per l'indisponibilita' temporanea dell'EDS, con persistenza dei dati nel repository regionale. Natura: non e' linea guida evidence-based, nessun grading; sono requisiti tecnici minimi cogenti per le Regioni, adottati ex art. 12 c. 15-undecies del D.L. 179/2012 in attuazione PNRR M6C1 sub-investimento 1.2.3.2. Documento del 2022, anteriore al DM 7-9-2023 e al decreto EDS: da datare esplicitamente in stesura (MA principio 5). DA ACCERTARE: il rinvio dell'art. 1 c. 2 lett. e-sexies) del D.lgs. 153/2009 alle 'linee guida nazionali' punta probabilmente all'Accordo Stato-Regioni 17-12-2020, non a F024; non affermare che F024 sia la fonte richiamata da e-sexies senza riscontro.|verificata|na
F025|2|linea_guida|Decreto 20 maggio 2022. Adozione delle Linee guida per l'attuazione del Fascicolo sanitario elettronico. Con Decreto 18 maggio 2022 sull'integrazione dei dati essenziali del FSE.|GU 11-07-2022|2022-05-20|2026-08-16|T1,T3,T0|-|NON ANCORA APERTA. Nota informativa AgID consultata (www.agid.gov.it/it/agenzia/stampa-e-comunicazione/notizie/2022/07/19/fascicolo-sanitario-elettronico-20-pubblicate-linee-guida-lattuazione): definisce contenuti, servizi, architettura e governance del FSE 2.0. Fonte primaria per OF4: e' il documento che dice quali dati e documenti il FSE conserva. Da reperire in GU e aprire al PASSO 3. ATTENZIONE: la nota AgID e' un aggregatore istituzionale, non fa stato (MB 6.1).|da_verificare|na
